ID,LATITUDE,LONGTITUDE,ELEVATION,NAME,
ASN00001000,-16.2919,127.1956,320,KARUNJIE,
ASN00001001,-15.1806,127.8456,2,OOMBULGURRI,
ASN00001003,-14.1331,126.7158,5,PAGO MISSION,
ASN00001004,-15.4167,124.7167,47,KUNMUNYA,
ASN00001005,-15.4644,128.1,20,WYNDHAM PORT,
ASN00001006,-15.51,128.1503,3.8,WYNDHAM AERO,95214
ASN00001007,-13.7542,126.1485,6,TROUGHTON ISLAND,94102
ASN00001008,-16.3017,126.1825,640,MOUNT ELIZABETH OLD SITE,
ASN00001009,-15.4875,124.5222,12,KURI BAY,94208
ASN00001010,-14.7883,126.4964,210,THEDA,
ASN00001011,-16.0497,124.95,-999.9,PANTA DOWNS,
ASN00001012,-14.7925,125.8258,315,MITCHELL PLATEAU,
ASN00001013,-15.4872,128.1247,11,WYNDHAM,94214
ASN00001014,-15.9078,128.1289,130,EMMA GORGE,
ASN00001016,-14.4861,126.7664,59,CARSON RIVER STATION,
ASN00001017,-15.5,127.8333,-999.9,NULLA NULLA,
ASN00001018,-16.4181,126.1025,546,MOUNT ELIZABETH,94211
ASN00001019,-14.2964,126.6453,23,KALUMBURU,GSN     94100
ASN00001020,-14.09,126.3867,51,TRUSCOTT,95101
ASN00001021,-14.2961,126.6431,23,KALUMBURU MISSION,
ASN00001022,-15.4997,128.1997,-999.9,WYNDHAM SIX MILE HOTEL,
ASN00001023,-16.0086,127.9806,90,EL QUESTRO,
ASN00001024,-15.9572,127.0628,300,ELLENBRAE,
ASN00001025,-15.3797,126.3114,385,DOONGAN,94215
ASN00001026,-15.7025,126.3786,370,DRYSDALE RIVER STATION,
ASN00001027,-15.6394,128.0803,14,DIGGERS REST,
ASN00001028,-15.7231,127.8297,10,HOME VALLEY,
ASN00001030,-14.5786,125.9133,3,KIMBERLEY COASTAL CAMP,
ASN00001031,-13.96,127.1964,60,FARAWAY BAY,
ASN00001032,-14.1472,126.6483,6,MCGOWAN ISLAND,
ASN00001035,-15.5969,128.2781,20,PARRY CREEK FARM,
ASN00002000,-17.7569,127.9386,363,ALICE DOWNS,
ASN00002001,-16.5039,128.9172,120,ARGYLE DOWNS,
ASN00002002,-18.8833,126.2333,-999.9,BOHEMIA DOWNS,
ASN00002003,-16.87,128.1836,194,BOW RIVER,
ASN00002004,-16.5833,128.3667,-999.9,GLEN HILL,
ASN00002005,-15.4864,128.5344,20,CARLTON HILL,
ASN00002006,-15.5,128.25,-999.9,ASCOT,
ASN00002007,-16.3167,128.25,-999.9,DUNHAM RIVER STATION,
ASN00002008,-18.3167,128,-999.9,FLORA VALLEY OLD,
ASN00002009,-16.4203,126.4411,488,GIBB RIVER,
ASN00002010,-18.7506,128.5842,354,GORDON DOWNS,
ASN00002011,-18.2519,127.7817,360,OLD HALLS CREEK,
ASN00002012,-18.2292,127.6636,422,HALLS CREEK AIRPORT,GSN     94212
ASN00002013,-15.69,128.6833,40,IVANHOE STATION,
ASN00002014,-15.6547,128.7092,31,KIMBERLEY RES.STATION,95215
ASN00002015,-18.4086,127.3547,400,LAMBOO,
ASN00002016,-16.6742,128.5533,120,LISSADELL,
ASN00002017,-18.7106,126.7111,248,LOUISA DOWNS,
ASN00002018,-17.1792,128.1217,254,MABEL DOWNS,
